,Title,URL,Rent,Min.Rent,Max.Rent,Unit.Label,Street.Address,Postal.Code,Amenities,Room.Count,lat,lng,accuracy,GoogleHumanReadable,Tract,GEOID10,NAMELSAD10,Opp_Area
228,"7753 N Sheridan Rd Unit 1, Chicago, IL",https://www.apartments.com/7753-n-sheridan-rd-chicago-il/kh9l119/,$850,850,850,Studio,7753 N Sheridan Rd Unit 1,60626,,Studio,42.0222815,-87.6664618,ROOFTOP,"7753 N Sheridan Rd #1, Chicago, IL 60626, USA",17031010100,17031010100,Census Tract 101,No
271,"7735 N Sheridan Rd Unit 77531, Chicago, IL",https://www.apartments.com/7735-n-sheridan-rd-chicago-il/fc094kr/,$850,850,850,Condo for Rent,7735 N Sheridan Rd Unit 77531,60626,,Studio,42.022282,-87.66647,ROOFTOP,"7735 N Sheridan Rd, Chicago, IL 60626, USA",17031010100,17031010100,Census Tract 101,No
348,"7735 N Sheridan Rd Unit 7753-1, Chicago, IL",https://www.apartments.com/7735-n-sheridan-rd-chicago-il/1yd6yw4/,$850,850,850,Condo for Rent,7735 N Sheridan Rd Unit 7753-1,60626,,Studio,42.022282,-87.66647,ROOFTOP,"7735 N Sheridan Rd #7753, Chicago, IL 60626, USA",17031010100,17031010100,Census Tract 101,No
468,"7606 N Eastlake Ter, Chicago, IL",https://www.apartments.com/7606-n-eastlake-ter-chicago-il/qnp3jmx/,$795,795,795,Studio,7606 N Eastlake Ter,60626,"Built in 1963,12 Units/3 Stories",Studio,42.019543,-87.665016,ROOFTOP,"7606 N Eastlake Terrace, Chicago, IL 60626, USA",17031010100,17031010100,Census Tract 101,No
478,"7725-7729 North Sheridan Road, Chicago, IL",https://www.apartments.com/7725-7729-north-sheridan-road-chicago-il/1z7z0q6/,$860,860,860,Studio,7725 N Sheridan Rd,60626,"Built in 1924,25 Units/4 Stories,Heating,Tub/Shower,Kitchen,Oven,Range,Refrigerator",Studio,42.022072,-87.6664041,ROOFTOP,"7725 N Sheridan Rd, Chicago, IL 60626, USA",17031010100,17031010100,Census Tract 101,No
494,"1440 W Howard St, Chicago, IL",https://www.apartments.com/1440-w-howard-st-chicago-il/hl2etv3/,$650,650,650,Studio,1440 W Howard St,60626,"Built in 1930,20 Units/3 Stories,Security System,High Speed Internet Access,Heating,Smoke Free,Cable Ready,Kitchen",Studio,42.0194056,-87.6678778,ROOFTOP,"1440 Howard St, Chicago, IL 60626, USA",17031010100,17031010100,Census Tract 101,No
722,"Sheridan Shores Apartments, Chicago, IL",https://www.apartments.com/sheridan-shores-apartments-chicago-il/h6sdcm0/,$925,925,925,1 Bed,7665-7715 N Sheridan Rd,60626,"2 Pet Limit,Built in 1928,76 Units/4 Stories,Laundry Facilities,Elevator,Vintage Building,Courtyard,High Speed Internet Access,Wi-Fi,Ceiling Fans,Smoke Free,Cable Ready,Tub/Shower,Kitchen,Range,Refrigerator,Hardwood Floors,Tile Floors,Family Room",1 Bed,42.0216781,-87.666349,ROOFTOP,"7715 N Sheridan Rd, Chicago, IL 60626, USA",17031010100,17031010100,Census Tract 101,No
1437,"7610 N Marshfield Ave, Chicago, IL",https://www.apartments.com/7610-n-marshfield-ave-chicago-il/qzz4g1w/,"$1,350","1,350","1,350",2 Bed,7610 N Marshfield Ave,60626,Washer/Dryer,2 Bed,42.0197563,-87.6720659,ROOFTOP,"7610 N Marshfield Ave, Chicago, IL 60626, USA",17031010100,17031010100,Census Tract 101,No
1687,"7622 N Sheridan Rd Unit 3A, Chicago, IL",https://www.apartments.com/7622-n-sheridan-rd-chicago-il/y99h58v/,"$1,100","1,100","1,100",2 Bed,7622 N Sheridan Rd Unit 3A,60626,Laundry Facilities,2 Bed,42.019929,-87.666591,ROOFTOP,"7622 N Sheridan Rd #3a, Chicago, IL 60626, USA",17031010100,17031010100,Census Tract 101,No
1706,"7616 N Marshfield Ave, Chicago, IL",https://www.apartments.com/7616-n-marshfield-ave-chicago-il/842ysw0/,"$1,350","1,350","1,350",2 Bed,7616 N Marshfield Ave,60626,,2 Bed,42.0200866,-87.6720645,ROOFTOP,"7616 N Marshfield Ave, Chicago, IL 60626, USA",17031010100,17031010100,Census Tract 101,No
1742,"7609 N Eastlake Terrace Unit 1N, Chicago, IL",https://www.apartments.com/7609-n-eastlake-terrace-chicago-il/9w56n56/,"$2,000","2,000","2,000",2 Bed,7609 N Eastlake Terrace Unit 1N,60626,Washer/Dryer,2 Bed,42.019548,-87.664218,ROOFTOP,"7609 N Eastlake Terrace #1n, Chicago, IL 60626, USA",17031010100,17031010100,Census Tract 101,No
2136,"7739 N Eastlake Terrace Unit 1B, Chicago, IL",https://www.apartments.com/7739-n-eastlake-terrace-chicago-il/he9eed2/,"$2,800","2,800","2,800",3 Bed,7739 N Eastlake Terrace Unit 1B,60626,"Washer/Dryer,Smoke Free",3 Bed,42.0220785,-87.6651554,ROOFTOP,"7739 N Eastlake Terrace #1b, Chicago, IL 60626, USA",17031010100,17031010100,Census Tract 101,No
721,"7516-7524 N Seeley Ave, Chicago, IL",https://www.apartments.com/7516-7524-n-seeley-ave-chicago-il/gnyhsqx/,$875 - 895,875,895,1 Bed,7516-7524 N Seeley Ave,60645,"$250 Fee,2 Pet Limit,Built in 1924,37 Units/4 Stories,Laundry Facilities,Controlled Access,High Speed Internet Access,Washer/Dryer,Heating,Ceiling Fans,Smoke Free,Tub/Shower,Intercom,Kitchen,Oven,Range,Refrigerator,Hardwood Floors,Carpet,Window Coverings",1 Bed,42.0187476,-87.6819014,ROOFTOP,"7524 N Seeley Ave, Chicago, IL 60645, USA",17031010201,17031010201,Census Tract 102.01,No
1304,"7340 N Damen Ave, Chicago, IL",https://www.apartments.com/7340-n-damen-ave-chicago-il/s5lfzr7/,$875,875,875,1 Bed,7340 N Damen Ave,60645,"40 lb Weight Limit,2 Pet Limit,15 lb Weight Limit,2 Pet Limit,2 Pet Limit,2 Pet Limit,1 Pet Limit,15 lb Weight Limit,2 Pet Limit,Built in 1930,34 Units/3 Stories,Laundry Facilities,Courtyard,Ceiling Fans,Smoke Free,Tub/Shower,Intercom,Framed Mirrors,Kitchen,Oven,Range,Refrigerator,Hardwood Floors,Dining Room,Office,Crown Molding,Linen Closet,Window Coverings",1 Bed,42.0153814,-87.6806825,ROOFTOP,"7340 N Damen Ave, Chicago, IL 60645, USA",17031010201,17031010201,Census Tract 102.01,No
1496,"7327 N Honore St, Chicago, IL",https://www.apartments.com/7327-n-honore-st-chicago-il/nbkhctq/,"$1,600","1,600","1,600",2 Bed,7327 N Honore St,60626,Washer/Dryer,2 Bed,42.0145451,-87.6763978,ROOFTOP,"7327 N Honore St, Chicago, IL 60626, USA",17031010201,17031010201,Census Tract 102.01,No
1979,"7340 N Damen Ave, Chicago, IL",https://www.apartments.com/7340-n-damen-ave-chicago-il/s5lfzr7/,"$1,100","1,100","1,100",2 Bed,7340 N Damen Ave,60645,"40 lb Weight Limit,2 Pet Limit,15 lb Weight Limit,2 Pet Limit,2 Pet Limit,2 Pet Limit,1 Pet Limit,15 lb Weight Limit,2 Pet Limit,Built in 1930,34 Units/3 Stories,Laundry Facilities,Courtyard,Ceiling Fans,Smoke Free,Tub/Shower,Intercom,Framed Mirrors,Kitchen,Oven,Range,Refrigerator,Hardwood Floors,Dining Room,Office,Crown Molding,Linen Closet,Window Coverings",2 Bed,42.0153814,-87.6806825,ROOFTOP,"7340 N Damen Ave, Chicago, IL 60645, USA",17031010201,17031010201,Census Tract 102.01,No
585,"1608 W Sherwin, Chicago, IL",https://www.apartments.com/1608-w-sherwin-chicago-il/fjnz22s/,$745 - 765,745,765,Studio,1608 W Sherwin,60626,"Built in 1928,83 Units/7 Stories,Laundry Facilities,Controlled Access,Maintenance on site,Property Manager on Site,Security System,24 Hour Availability,Trash Pickup - Curbside,Renters Insurance Program,Online Services,Gated,High Speed Internet Access,Heating,Smoke Free,Cable Ready,Pantry,Eat-in Kitchen,Kitchen,Oven,Range,Refrigerator,Freezer,Walk-In Closets",Studio,42.0152518,-87.6707463,APPROXIMATE,"1608 W Sherwin Ave, Chicago, IL 60626, USA",17031010202,17031010202,Census Tract 102.02,No
1108,"1628 W Chase Ave Unit 2S, Chicago, IL",https://www.apartments.com/1628-w-chase-ave-chicago-il/pthr6ts/,"$1,000","1,000","1,000",Condo for Rent,1628 W Chase Ave Unit 2S,60626,Smoke Free,1 Bed,42.01413,-87.671451,ROOFTOP,"1628 W Chase Ave #2s, Chicago, IL 60626, USA",17031010202,17031010202,Census Tract 102.02,No
1308,"1608 W Sherwin, Chicago, IL",https://www.apartments.com/1608-w-sherwin-chicago-il/fjnz22s/,$845 - 870,845,870,1 Bed,1608 W Sherwin,60626,"Built in 1928,83 Units/7 Stories,Laundry Facilities,Controlled Access,Maintenance on site,Property Manager on Site,Security System,24 Hour Availability,Trash Pickup - Curbside,Renters Insurance Program,Online Services,Gated,High Speed Internet Access,Heating,Smoke Free,Cable Ready,Pantry,Eat-in Kitchen,Kitchen,Oven,Range,Refrigerator,Freezer,Walk-In Closets",1 Bed,42.0152518,-87.6707463,APPROXIMATE,"1608 W Sherwin Ave, Chicago, IL 60626, USA",17031010202,17031010202,Census Tract 102.02,No
1525,"7416 N Rogers Ave Unit 1S, Chicago, IL",https://www.apartments.com/7416-n-rogers-ave-chicago-il/tt7q6y9/,"$1,150","1,150","1,150",2 Bed,7416 N Rogers Ave Unit 1S,60626,,2 Bed,42.016582,-87.674521,ROOFTOP,"7416 N Rogers Ave #1s, Chicago, IL 60626, USA",17031010202,17031010202,Census Tract 102.02,No
1527,"7416 N Rogers Ave Unit 2N, Chicago, IL",https://www.apartments.com/7416-n-rogers-ave-chicago-il/9sdk3h7/,"$1,150","1,150","1,150",2 Bed,7416 N Rogers Ave Unit 2N,60626,,2 Bed,42.016582,-87.674521,ROOFTOP,"7416 N Rogers Ave #2n, Chicago, IL 60626, USA",17031010202,17031010202,Census Tract 102.02,No
1528,"7416 N Rogers Ave Unit 2S, Chicago, IL",https://www.apartments.com/7416-n-rogers-ave-chicago-il/g7mmn2x/,"$1,225","1,225","1,225",2 Bed,7416 N Rogers Ave Unit 2S,60626,,2 Bed,42.016582,-87.674521,ROOFTOP,"7416 N Rogers Ave #2s, Chicago, IL 60626, USA",17031010202,17031010202,Census Tract 102.02,No
1841,"1605 W Jarvis Ave Unit 3B, Chicago, IL",https://www.apartments.com/1605-w-jarvis-ave-chicago-il/sm35bc4/,"$1,280","1,280","1,280",2 Bed,1605 W Jarvis Ave Unit 3B,60626,,2 Bed,42.0159788,-87.670558,ROOFTOP,"1605 W Jarvis Ave #3b, Chicago, IL 60626, USA",17031010202,17031010202,Census Tract 102.02,No
1982,"1608 W Sherwin, Chicago, IL",https://www.apartments.com/1608-w-sherwin-chicago-il/fjnz22s/,"$1,350","1,350","1,350",2 Bed,1608 W Sherwin,60626,"Built in 1928,83 Units/7 Stories,Laundry Facilities,Controlled Access,Maintenance on site,Property Manager on Site,Security System,24 Hour Availability,Trash Pickup - Curbside,Renters Insurance Program,Online Services,Gated,High Speed Internet Access,Heating,Smoke Free,Cable Ready,Pantry,Eat-in Kitchen,Kitchen,Oven,Range,Refrigerator,Freezer,Walk-In Closets",2 Bed,42.0152518,-87.6707463,APPROXIMATE,"1608 W Sherwin Ave, Chicago, IL 60626, USA",17031010202,17031010202,Census Tract 102.02,No
2052,"1640 W Fargo Ave, Chicago, IL",https://www.apartments.com/1640-w-fargo-ave-chicago-il/5sx21cn/,"$1,675","1,675","1,675",2 Bed,1640 W Fargo Ave,60626,"Gated Parking is included !,Built in 1916,6 Units/3 Stories,Laundry Facilities,Controlled Access,24 Hour Availability,Washer/Dryer,Air Conditioning,Ceiling Fans,Cable Ready,Storage Units,Dishwasher,Disposal,Ice Maker,Granite Countertops,Stainless Steel Appliances,Pantry,Eat-in Kitchen,Kitchen,Microwave,Oven,Refrigerator,Instant Hot Water,Hardwood Floors,Sunroom,Bay Window,Porch",2 Bed,42.0171568,-87.67199,ROOFTOP,"1640 W Fargo Ave, Chicago, IL 60626, USA",17031010202,17031010202,Census Tract 102.02,No
361,"7450 N Greenview Ave, Chicago, IL",https://www.apartments.com/7450-n-greenview-ave-chicago-il/exvtxjp/,$815,815,815,Condo for Rent,7450 N Greenview Ave,60626,,Studio,42.0175286,-87.6684074,ROOFTOP,"7450 N Greenview Ave, Chicago, IL 60626, USA",17031010300,17031010300,Census Tract 103,No
584,"1521 W Sherwin, Chicago, IL",https://www.apartments.com/1521-w-sherwin-chicago-il/jw3f9e6/,$745 - 765,745,765,Studio,1521 W Sherwin Ave,60626,"Built in 1930,56 Units/6 Stories,Laundry Facilities,Controlled Access,Maintenance on site,Gated,High Speed Internet Access,Heating,Smoke Free,Kitchen,Oven,Range,Refrigerator,Freezer",Studio,42.0146101,-87.6690527,ROOFTOP,"1521 W Sherwin Ave, Chicago, IL 60626, USA",17031010300,17031010300,Census Tract 103,No
649,"The Highlands Apartments, Chicago, IL",https://www.apartments.com/the-highlands-apartments-chicago-il/3005ngd/,$645,645,645,Studio,7455 N Greenview Ave,60626,"2 Pet Limit,Built in 1919,92 Units/5 Stories,Laundry Facilities,High Speed Internet Access,Heating,Smoke Free,Cable Ready,Oven,Range,Refrigerator",Studio,42.0178342,-87.6679455,ROOFTOP,"7455 N Greenview Ave, Chicago, IL 60626, USA",17031010300,17031010300,Census Tract 103,No
719,"The Highlands Apartments, Chicago, IL",https://www.apartments.com/the-highlands-apartments-chicago-il/3005ngd/,$850,850,850,1 Bed,7455 N Greenview Ave,60626,"2 Pet Limit,Built in 1919,92 Units/5 Stories,Laundry Facilities,High Speed Internet Access,Heating,Smoke Free,Cable Ready,Oven,Range,Refrigerator",1 Bed,42.0178342,-87.6679455,ROOFTOP,"7455 N Greenview Ave, Chicago, IL 60626, USA",17031010300,17031010300,Census Tract 103,No
737,"Dalet Park, Chicago, IL",https://www.apartments.com/dalet-park-chicago-il/w5rnp2l/,Call for Rent,,,1 Bed,1441 W Jarvis Ave,60626,"60 lb Weight Limit,2 Pet Limit,2 Pet Limit,14 Units,Laundry Facilities,24 Hour Availability,Courtyard,Dishwasher,Ice Maker,Pantry,Kitchen,Oven,Range,Refrigerator,Freezer",1 Bed,42.0158474,-87.6677412,ROOFTOP,"1441 W Jarvis Ave, Chicago, IL 60626, USA",17031010300,17031010300,Census Tract 103,No
1307,"1521 W Sherwin, Chicago, IL",https://www.apartments.com/1521-w-sherwin-chicago-il/jw3f9e6/,$845 - 865,845,865,1 Bed,1521 W Sherwin Ave,60626,"Built in 1930,56 Units/6 Stories,Laundry Facilities,Controlled Access,Maintenance on site,Gated,High Speed Internet Access,Heating,Smoke Free,Kitchen,Oven,Range,Refrigerator,Freezer",1 Bed,42.0146101,-87.6690527,ROOFTOP,"1521 W Sherwin Ave, Chicago, IL 60626, USA",17031010300,17031010300,Census Tract 103,No
1316,"Farcroft Apartments, Chicago, IL",https://www.apartments.com/farcroft-apartments-chicago-il/9zqntk7/,"$920 - 1,200",920,"1,200",1 Bed,1337 W Fargo Ave,60626,"Built in 1934,84 Units/13 Stories,Laundry Facilities,Property Manager on Site,Security System,Elevator,Multi Use Room,Waterfront,Fitness Center,High Speed Internet Access,Washer/Dryer,Fireplace,Sprinkler System,Dishwasher,Disposal,Granite Countertops,Stainless Steel Appliances,Kitchen,Microwave,Oven,Range,Refrigerator,Crown Molding,Views",1 Bed,42.0168717,-87.6643601,ROOFTOP,"1337 W Fargo Ave, Chicago, IL 60626, USA",17031010300,17031010300,Census Tract 103,No
