PGM_SYS_ID,2007_titlefive_N,2007_titlefive_Y,2008_titlefive_N,2008_titlefive_Y,2009_titlefive_N,2009_titlefive_Y,2010_titlefive_N,2010_titlefive_Y,2011_titlefive_N,2011_titlefive_Y,2012_titlefive_N,2012_titlefive_Y,2013_titlefive_N,2013_titlefive_Y,2014_titlefive_N,2014_titlefive_Y,2015_titlefive_N,2015_titlefive_Y,2016_titlefive_N,2016_titlefive_Y,2017_titlefive_N,2017_titlefive_Y
080000004904500088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
080000004904700001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
080000004904700004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
080000004904700021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
080000004904700023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
080000004904701010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0
100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
100000001600500049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0
100000001600900001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
100000001600900018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0
100000001606100001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0
100000001606100002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
100005414000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
AK0000000201000015,5,0,5,0,0,0,10,0,20,0,5,0,5,0,5,5,0,0,0,0,0,0
AK0000000201000025,5,0,0,0,5,0,0,0,5,0,5,0,0,5,0,5,0,0,0,0,0,0
AK0000000201300005,5,0,0,0,5,0,0,0,10,0,5,0,5,5,5,0,0,0,0,0,0,0
AK0000000201300011,5,0,0,0,10,0,0,0,10,0,5,0,0,5,0,5,0,0,0,0,0,0
AK0000000201600002,5,0,5,0,5,0,5,0,10,0,10,0,0,5,0,5,0,0,0,0,0,0
AK0000000201600003,5,5,5,5,0,0,10,0,5,0,5,0,5,5,0,5,0,0,0,0,0,0
AK0000000201600004,5,0,0,0,10,0,0,0,15,0,5,0,5,0,5,0,0,0,0,0,0,0
AK0000000201600008,5,0,5,0,5,0,0,0,10,0,10,0,10,0,15,0,0,0,0,0,0,0
AK0000000201600009,0,5,0,0,15,0,0,0,15,0,5,0,5,0,5,0,0,0,0,0,0,0
AK0000000201600012,0,0,0,0,0,0,5,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0
AK0000000201600016,0,0,0,0,0,0,10,0,10,0,5,0,5,0,5,0,0,0,0,0,0,0
AK0000000201600019,5,0,5,0,0,0,15,0,5,0,5,0,0,5,0,5,0,0,0,0,0,0
AK0000000202000001,5,0,5,0,5,0,10,0,5,0,5,0,0,5,0,5,0,0,0,0,0,0
AK0000000202000002,5,0,0,5,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK0000000202000013,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK0000000202000022,5,0,0,0,0,0,20,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0
AK0000000202000023,5,0,0,5,5,0,5,0,5,0,10,0,0,5,0,5,0,0,0,0,0,0
