"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112.5,1012.5,950,1000,1000,1030,975,895,933,947.5,1000,1102.5,1052.5,1050,999.5,1022,1100,1072.5,999.5,1050,1090,1150,1100,1049.5,1075,1100,1075,1154,1075,1043.5,1063.5,1095,1050,1100,1189.5,1150.5,1250,1300.5,1275,1287.5
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,950,850,900,895,890,825,795,795,795,829.5,795,750,750,795,775,750,775,772,775,750,750,750,775,795,770,750,750,790,795,795,795,795,800,800,826,820,817,850,850,825,850,875,900,900,900,875,925,950,950,925,995,995,900,927,925,930,945,969,997.5,929.5,957.5,997.5,980,1000,965,952.5,1007.5,1000,1000,1050,1093
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,,,650,686,650,655,677,667,654,639,640,647.5,667,653.5,697.5,698.5,675,667,670,667,676,695,700,700,700,700,700,786,750,765,765,765,762.5,750,770,775,785,785,770,765,772.5,750,767.5,767.5,780,825,792.5,699,684,755,788,795,802.5,799,797,799.5,797,802.5,775,799,797,780.5
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,4500,4500,4500,4400,4475,4500,4500,4500,4400,4375,4375,4495,4600,4585,4525,4525,4572.5,4509.5,4500,4500,4500,4400,4000,4337.5,4400,4400,4300,4250,4200,4297.5,4250
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,2047.5,1995,2000,2100,2100,2150,2100,1975,1875,1797.5,1750,1795,1775,1775,1797.5,1880,1822,1849,1750,1845,1892,1865,1895,1830,1785,1867.5,1895,1950,1950,1917,1850,1925,1895,1950,1850,1850,1899.5,1895,1985,2154.5,2225,2195,2137,2195,2150,2250,2199.5,1995,2225,2250,2095,2159,2240.5,2200,2200,2225,2200,2250,2200,2200,2326.5,2295,2325,2222.5,2200,2250,2348,2200,2295,2295,2375,2300,2395,2350,2300
"Upper East Side","New York","NY","New York","New York",6,,,,,,,3150,3290,3100,2950,2999.5,3000,3000,3000,3340,3250,3250,3350,3200,3200,3195,3100,3200,3200,3200,3295,3350,3363,3300,3249,3200,3150,3095,3050,2900,3000,3200,3200,3200,3200,3295,3300,3400,3400,3350,3260,3500,3600,3595,3650,3745,3850,3700,3895,3799,3700,3400,3495,3495,3595,3650,3600,3500,3595,3640,3700,3750,3850,3595,3400,3595,3300,3600,3495,3495,3500,3397.5,3495,3435
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,650,650,695,650,650,650,650,650,650,650,650,650,650,650,650,625,627.5,650,650,650,650,650,650,650,650,650,650,600,600,600,625,650,650,650,650,675,665,650,654.5,650,650,650,650,650,650,650,675,675,675,650,675,695,675,695,675,700,700,700,695,700,750,725,695,750,726,700,741,749.5,795,799
"East New York","New York","NY","New York","Kings",8,,,,,,,,,,,1400,1400,1400,1400,1400,1400,1450,1400,1400,1405,1488,1450,1400,1400,1400,1400,1400,1400,1400,1400,1400,1450,1450,1500,1400,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1507,1550,1500,1500,1500,1550,1550,1600,1600,1600,1600,1700,1600,1600,1600,1600,1650,1600,1612.5,1699,1700,1650,1662.5,1750,1800,1770,1774.5,1800,1850,1895,1800,1800
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,1004,1000,1050,995,975,1067.5,999,959.5,972.5,1050,1037,1095
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,960,960,970,999,975,950,975,925,937,927.5,944,934.5,925,945,1000,975,950,975,950,975,975,970,1061,1093.5,1044.5,1115,1050,1000,1025,1000,995,1000,1000,995,950,1000,1044,1121.5
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",11,,,,,,,,,850,850,835,825,800,775,735,725,675,715.5,740,775,750,750,761,788,800,776.5,745,764.5,775,795,797,788.5,795,799,777,788,799,800,795,811,799,799,800,799,800,825,800,808,817.5,825,877.5,900,897,915,907.5,875,860,897,880,858,850,900,1040,950,918.5,899,955,947,927.5,943,950.5,987,964.5,965,873.5,890,950,953,954
"Washington Heights","New York","NY","New York","New York",12,,,,,,1550,1650,1695,1650,1695,1750,1700,1695,1650,1647.5,1650,1675,1675,1680,1650,1700,1795,1750,1800,1800,1800,1750,1795,1795,1795,1800,1800,1850,1850,1897.5,1875,1852.5,1850,1850,1850,1850,1875,1875,1895,1900,1950,1895,1950,1997.5,2000,1975,1995,2000,1975,1975,1975,1950,1995,2000,2050,2050,2050,2000,2000,2000,2000,2042.5,2000,2000,1995,1995,2000,2000,2000,2000,2000,2066.5,2095,2050
"Van Nuys","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1440,1400,1395,1300,1482.5,1450,1450,1450,1400,1485,1395,1512.5,1621,1550,1572.5,1495,1522.5,1600,1600,1690,1575,1600,1695,1670,1650,1597.5,1645,1645,1642.5,1695,1725,1825,1765,1850,1785,1795,1795,1806,1836,1700,1737.5,1650,1750,1895
"Astoria","New York","NY","New York","Queens",14,,,,,,,,,,1875,1892.5,1937.5,1900,1900,2150,2100,2100,2100,2100,2000,2100,2150,2200,2267.5,2350,2400,2450,2450,2450,2400,2400,2400,2350,2350,2400,2500,2500,2600,2472.5,2400,2400,2400,2400,2450,2500,2425,2500,2500,2495,2500,2500,2412.5,2425,2450,2400,2400,2400,2400,2400,2400,2470,2400,2400,2400,2400,2400,2400,2400,2450,2400,2450,2450,2400,2400,2425,2400,2395,2325,2400
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",15,750,775,775,785,732.5,750,762.5,795,750,750,700,700,750,695,650,630,599,642,649,668,650,710,700,675,675,670,668,660,650,659,669,669,659,665,668,695,695,699,662.5,650,651,675,675,695,754,729.5,709,731.5,717,725,675,675,697.5,722.5,746,750,775,775,764,786.5,788,759,800,774,774,767.5,788,788.5,788,788,789,789,747,787,788,775,788,792,788.5
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",16,,,,,,,,,,,,,969,880,879,905.5,883,889,899,909,894.5,952.5,980,945,950,965,965,1030,1086,1005,1019,1025,1011,1049,1055,1025,1112.5,1110,1100,1145,1135.5,1125,1130,1125,1045,1127,1130,1175,1187,1186,1170,1145,1175.5,1195,1145,1159.5,1156,1200,1199.5,1200,1225,1220.5,1195,1239.5,1229,1241,1242,1249,1275,1275,1274.5,1300,1396,1320,1245.5,1250,1300,1300,1330
"Bedford Stuyvesant","New York","NY","New York","Kings",17,,,,,1500,1500,1500,1500,1495,1600,1650,1600,1600,1600,1600,1600,1575,1600,1650,1650,1700,1700,1700,1750,1750,1725,1750,1700,1750,1800,1800,1850,1900,1995,2100,2200,2175,2050,2000,2000,2000,2000,2000,2000,2000,2100,2100,2185,2200,2185,2200,2200,2200,2200,2200,2200,2300,2350,2300,2350,2300,2300,2300,2295,2300,2300,2300,2350,2395,2375,2400,2400,2400,2500,2500,2300,2370,2338,2300
"Alhambra","Phoenix","AZ","Phoenix","Maricopa",18,,,,,599,625,625,625,625,625,599,650,625,600,600,600,625,600,600,625,649,625,622.5,625,649.5,625,649,649.5,649,625,649,649,645,625,625,625,647,650,645,625,650,650,625,650,660,675,680,699,697.5,699.5,675,675,675,675,699,729,729,725,725,725,727,737,729,745,725,740,788,750,760,750,788,788,770,788,795,788,800,800,788
"Flatbush","New York","NY","New York","Kings",19,,,,,,,,,,1650,1650,1600,1595,1590,1550,1600,1650,1600,1500,1500,1500,1600,1600,1637.5,1600,1600,1600,1563,1650,1650,1675,1675,1700,1800,1700,1750,1800,1800,1750,1775,1799,1775,1785,1799,1812.5,1850,1900,1895,1900,1900,1900,1900,1900,1900,1900,1900,2000,1950,1999,2000,2000,2100,2095,2000,2000,2000,2000,2000,2000,2000,2008,1975,2100,2250,2100,1975,1997,1985,1995
"Crown Heights","New York","NY","New York","Kings",20,,,,,,1500,1425,1662.5,1799.5,1700,1675,1650,1650,1650,1799,1900,1800,1700,1700,1850,1899.5,1925,1950,2100,2000,1950,1800,1750,1750,1800,1900,1900,1999,2000,2100,2199,2200,2184.5,2174.5,2100,2017,2000,2100,2100,2200,2250,2200,2200,2250,2250,2250,2200,2270,2300,2300,2300,2400,2350,2350,2375,2350,2399,2300.5,2300,2350,2395,2400,2400,2400,2400,2399,2498,2400,2445,2395,2299,2300,2225,2246
"Harlem","New York","NY","New York","New York",21,,,,,1900,1860.5,1800,1795,1795,1797.5,1795,1795,1800,1892.5,1950,1977.5,1930,1950,1897.5,1850,1900,1900,1950,1995,1995,2000,2025,1997,2000,2000,2122.5,2115,2100,2100,2075,2100,2150,2000,2100,2035,2100,2000,2000,2000,2100,2225,2350,2475,2400,2400,2400,2400,2495,2400,2400,2350,2350,2450,2400,2400,2450,2450,2400,2464,2400,2400,2464,2475,2425,2350,2400,2500,2400,2400,2400,2300,2495,2450,2400
