"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03"
"Upper West Side","New York","NY","New York","New York",1,,2900,3000,2950,3225,3200,3150,3400,3500,3550,3400,3500,2995,3200,3200,3200,3100,3200,3300,3500,3600,3495,3300,3102.5,3300,3095,3100,3250,3300,3295,3300,3300,3350,3350,3300,3299,3300,3300,3299,3298.5,3249.5,3200,3250,3500,3500,3600,3625,3597,3600,3650,3650,3600,3792.5,3700,3625,3680,3750,3677.5,3675,3700,3649.5,3657.5,3697.5,3695,3700,3750,3750,3800,3795,3795,3795,3795,3750,3750,3750,3750,3600,3597,3550,3500,3512.5,3600,3510,3600,3600,3600
"Upper East Side","New York","NY","New York","New York",2,,,,,,,,,,,,,,2569,2600,2600,2625,2750,2800,2800,2900,2750,2700,2600,2695,2650,2650,2695,2695,2695,2700,2712.5,2795,2800,2850,2800,2800,2750,2795,2700,2600,2495,2600,2800,2995,3150,3137.5,3100,3050,3025,3100,3000,3100,3097.5,3137.5,3150,3100,3100,3140,3155,3152.5,3150,3195,3190,3200,3200,3200,3200,3202.5,3200,3200,3200,3200,3200,3200,3195,3050,3095,3000,2999,3100,3095,2975,3100,3155,3200
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",3,,,,,,,,,,,,,,,,,700,669,650,650,650,650,650,627,650,650,650,675,695,695,699,650,650,695,662.5,700,650,700,700,700,700,700,697,675,650,650,650,695,700,700,705,700,700,697.5,700,700,725,720,725,747.5,750,735,700,695,725,749,749,750,750,750,750,750,750,750,725,725,750,735,750,762.5,800,777.5,812.5,800,837.5,875
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",4,,,,,,,,,,,,812.5,812.5,800,795,800,800,800,795,795,775,774,750,795,795,795,795,799,775,800,795,799,800,850,888,900,850,895,865,850,850,850,850,825,800,800,800,800,800,800,800,825,825,800,800,825,825,849,850,850,850,850,850,875,880,850,875,850,850,850,850,850,850,875,875,895,947.5,889,899,925,992.5,995,975,1017.5,1100,1095
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",5,,,,,,,,1125,995,990,1000,1000,995,980,1000,1000,1085,1000,999,1000,975,975,950,962.5,997,975,935,900,950,970,950,952.5,950,989,975,989,988,984,995,950,950,950,945,946.5,975,950,950,950,975,985,995,1050,1000,1000,1045,1000,997.5,995,1000,1022,1044,1050,1200,1195,1150,1162.5,1147.5,1150,1199,1200,1295,1250,1250,1250,1250,1100,1150,1100,1100,1100,1162.5,1150,1022,1200,1200,1200
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,762.5,775,750,795,800,795,775,725,750,735,755.5,775,750,775,775,796,799,797.5,799.5,796,800,825,871,795,825,800,800,799,825,849.5,849,849,850,850,850,850,837.5,825,850,870,870,875,860,860,837.5,850,850,850,850,850,895,850,885,950,850,850,850,895,900,875,895,925,900,897.5,870,860,860,975,910,997.5
"Washington Heights","New York","NY","New York","New York",7,,,,,,,,,,,,,,1350,1412.5,1395,1380,1477.5,1495,1625,1415,1500,1500,1550,1512.5,1500,1495,1495,1550,1550,1600,1625,1595,1600,1650,1575,1650,1695,1695,1750,1750,1795,1750,1675,1750,1750,1712.5,1650,1625,1645,1675,1800,1800,1750,1772.5,1750,1750,1750,1750,1800,1800,1772.5,1785,1800,1850,1850,1850,1800,1850,1850,1795,1797.5,1800,1800,1750,1750,1772.5,1675,1675,1750,1712.5,1750,1712.5,1825,1897.5,1850
"Astoria","New York","NY","New York","Queens",8,,,,,,,,,,,,,,,,,,,,,,,1700,1700,1700,1795,1775,1800,1875,1950,2050,2000,2100,2070,2100,2100,2050,2050,2095,2100,2000,2025,2100,2200,2100,2100,2100,2100,2100,2100,2100,2100,2125,2250,2250,2262.5,2200,2200,2200,2200,2200,2200,2150,2200,2225,2300,2300,2300,2300,2250,2250,2250,2300,2300,2295,2175,2350,2175,2150,2300,2300,2200,2100,2200,2195,2175
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",9,,,,,,,,,,750,775,752.5,765,795,797,795,785,799,795,785,795,725,697.5,750,725,685,724,695,700,750,700,712.5,737.5,742.5,750,727.5,734,750,745,750,700,697,725,749,788,795,795,788,795,800,800,850,850,850,800,825,825,795,795,795,797,800,825,862.5,850,850,850,850,800,875,850,850,875,850,877.5,850,850,875,850,850,890,825,850,850,877.5,890
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3099,3099,3000,2850,2950,3099,3200,3197.5,3195,3125,3475,3300,3295,3225,3495,3495,3500,3495,3500,3500,3250,3299,3275,3200,3000,2995,2875,3200,3200,3300
