"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969,915,901,825,832,844.5,892,875,884,815,815,858,893,1048,989.5,953.5,875,885,920,900,875,881,955,991,939,875,921,914,910,999,905,910,899.5,905,903,950,994,971,1063,1091,1065,1083
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,970,850,850,897.5,895,995,935,845,817,750,797,864,855,880,870,825,912.5,867,889,887,909,869,825,919.5,1010,1055,932.5,875,850,920,918,1020,949
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.5,660,660,735,755,790,810,773,820,842.5,795,805,765,777,782.5,840
"Upper West Side","New York","NY","New York","New York",4,3462.5,3200,3350,2825,2647.5,2800,2800,2950,2800,2900,3000,2995,3000,3000,3095,3000,3000,3000,3045,3075,3124,3092.5,3200,3250,3300,3300,3150,3100,3000,3147.5,3100,3150,3300,3250,3295,3300,3400,3300,3300,3300,3300,3300,3300,3300,3400,3350,3390,3399,3350,3385,3335,3300,3375,3373,3399.5,3300,3350,3395,3445,3475,3450,3450,3400,3400,3395,3387.5,3395,3350,3350,3049.5,3250,3300,3395,3350,3200,3244,3295,3247.5
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1450,1437.5,1450,1495,1583.5,1700,1650,1495,1495,1550,1550,1585,1650,1795,1685,1795,1960,1735,1798,1795,1795,1887.5,1795,1835,1790,1875,1922.5,1950,1969.5,1875,1975,1945,1897,1912.5,1900,1995,1995,1995,1896,1908,1877.5,1817.5,1890,1797.5,1797.5,1942.5,1885,1955
"Upper East Side","New York","NY","New York","New York",6,,2350,2395,2300,2300,2469.5,2570,2500,2500,2500,2575,2500,2500,2595,2595,2595,2600,2595,2600,2650,2675,2650,2650,2695,2700,2750,2750,2700,2700,2695,2600,2600,2795,2750,2725,2750,2800,2750,2700,2700,2700,2775,2775,2750,2995,2750,2725,2725,2700,2750,2775,2750,2800,2800,2800,2700,2795,2795,2850,2850,2800,2795,2750,2795,2800,2810,2800,2795,2700,2700,2725,2750,2790,2750,2700,2749,2799.5,2795
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,680,600,635,618,600,614,599.5,595,596.5,625,625,599,595,600,612.5,600,625,625,625,645,650,664,700,760,860,750,850,750,700,737,697,792,789
"East New York","New York","NY","New York","Kings",8,,,,,,,,1550,1500,1400,1450,1450,1450,1460,1500,1500,1500,1500,1575,1600,1592.5,1585,1600,1600,1600,1600,1550,1587.5,1600,1550,1550,1500,1600,1600,1525,1500,1500,1540,1545,1500,1545,1550,1550,1600,1700,1600,1600,1650,1650,1600,1600,1650,1700,1800,1799,1800,1750,1800,1800,1750,1750,1800,1850,1800,1899.5,1900,1900,1800,1850,1850,1913.5,2000,1800,1899,2000,1825,2000,2000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1129,1100,1049.5,1050,1005,1025,999,955,1012.5,950,1009,1179,1229,1189,1149,1189.5,1179,1174,1239,1250,1226.5,1235,1177,1195,1065.5,1249,1174,1199
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,960,820,847.5,864,865,840,830,810,847.5,837,880,900,899,875,865,849,849,875,895,852.5,995,950,950,981,935,949.5,959,909,936.5,955.5,920,935,904.5,934.5,971,977.5
