"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995,980,969.5,915,899,900,923,901,901,833.5,840,877.5,900,1038.5,975,950,891,915,950,920,886,897,965,1000,950,897,930,919,919.5,995,915,916,903,934.5,923,971.5,995,966,1063,1088,1050,1086.5
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,800,925,885,800,775,750,740,750,728.5,707,675,675,700,700,700,737,730.5,745,700,695,699,710,725,750,750,795,825,875,890,850,895,900,925,925,925,900,925,895,882,895,905,920,995,950,900,950,950,950,975,975,982.5,925,917.5,919,899,909,959,975,949,925,1000,995,1095,985,995,1020,985,1050,1149,1120
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,650,612.5,650,650,673,605.5,595,599.5,619,650,726,649,647,625,625,639,639,615,589,595,599,610,650,697,681,725,650,650,667,667,667,725,700,700,700,700,780.5,750,750,765,770,755,750,769.5,765,750,770,750,750,740,750,780,775,752.5,847.5,750,672.5,695,760,770,787,805,765,788,832.5,788,802.5,750,780,777.5,825
"Upper West Side","New York","NY","New York","New York",4,,2950,2900,2774.5,2997.5,2950,3095,3180,3425,3450,3200,2900,2700,2850,2993.5,3000,2895,3000,3095,3100,3195,3200,3195,3095,3100,3017.5,3040,3135,3165,3109.5,3200,3200,3299,3300,3200,3200,3200,3200,3200,3200,3300,3250,3265,3380,3400,3300,3310,3300,3300,3300,3300,3300,3400,3427,3450,3495,3480,3464,3430,3425,3450,3460,3495,3450,3490,3500,3500,3575,3547.5,3535,3500,3500,3500,3500,3500,3500,3450,3250,3400,3400,3445,3425,3337.5,3385,3400,3375
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,1695,1750,1795,1972.5,1850,1850,1950,1800,1750,1597.5,1495,1577,1575,1550,1495,1585,1595,1499,1575,1595,1650,1640,1580,1565,1565,1622,1625,1650,1597.5,1695,1575,1650,1625,1750,1575,1575,1625,1600,1695,1725,1799,1795,1850,1995,1895,1850,1837,1849,1975,1900,1945,1895,2000,1998,1985,1995,1925,2050,1995,1995,2050,2022,2025,2095,2083,2050,1999,1900,1895,1975,1975,1906,2056.5,1995,2005
"Upper East Side","New York","NY","New York","New York",6,,,,,,,,,,,,,2250,2400,2500,2500,2500,2525,2600,2595,2595,2600,2550,2525,2550,2545,2575,2600,2600,2602.5,2650,2650,2700,2700,2750,2700,2695,2695,2695,2695,2695,2600,2675,2750,2795,2750,2750,2700,2700,2750,2750,2750,2950,2800,2800,2800,2800,2800,2845,2800,2895,2900,2900,2800,2895,2895,2950,2950,2895,2875,2855,2875,2900,2900,2900,2850,2800,2795,2800,2800,2800,2800,2750,2799,2850,2850
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,697.5,650,600,610.5,628,650,600,625,612.5,650,625,600,638.5,650,635,625,599,619.5,645,625,649,650,672.5,650,642,650,659,663,695,675,650,700,775,785,775,750,780,750,695,670,665,650,650,675,650,675,675,667,675,675,650,675,675,650,675,659,695,695,692,686.5,700,750,790.5,750,799,775,750,753.5,750,800,800
"East New York","New York","NY","New York","Kings",8,,,,,,,,,,,,,1600,1600,1550,1600,1500,1400,1450,1450,1450,1450,1495,1500,1477,1400,1450,1500,1500,1488,1450,1500,1500,1500,1500,1500,1500,1550,1550,1550,1550,1600,1545,1500,1500,1500,1500,1500,1545.5,1550,1550,1600,1700,1600,1600,1650,1650,1600,1600,1650,1700,1799,1750,1800,1750,1800,1800,1790,1700,1800,1800,1800,1850,1900,1895,1800,1812.5,1850,1900,1938.5,1800,1899.5,1995,1837.5,1999,2000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130.5,995,1005,1002,1050,1150,1100,1060,1100,1085,1074,1000,1172,1149.5,1149
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,,,,,,1100,997,995,1000,1000,975,975,995,1000,997,957.5,950,950,905,865,850,869,858.5,828,830,796,810,830,810,810,822,827,828.5,810,795,827,844,850,850,850,850,850,844,820,887.5,999,990,975,969,975,950,935,950,925,925,925,945,950,947.5,975,1025,1000,995,1000,1000,1000,1012.5,955,1075,1093.5,1076,1044,1038,995,1045,975,995,1000,995,995,947.5,1025,1050,1083
