"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,1600,1600,1585,1600,1550,1550,1550,1550,1450,1412.5,1495,1497.5,1750,1700,1600,1700,1600,1600,1625,1725,1550,1750,1650,1600,1600,1695
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,1195,1195,1195,1195,1195,1195,1150,1150,1150,1100,1100,1100,1100,1150,1150,1150,1185,1200,1200,1200,1200,1200,1200,1200,1250,1250,1250,1250,1275,1295,1250,1250,1250,1250,1295,1250,1250,1292.5,1295,1300,1295,1300,1300,1300,1350,1295,1300,1300,1300,1347.5,1350,1350,1350,1350,1295,1350,1350,1295,1300,1250,1300,1300,1350
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,895,937.5,895,875,875,899,850,850,850,850,850,850,850,850,850,850,845,800,825,825,850,850,875,895,895,895,895,895,875,875,850,850,850,850,850,850,850,850,870,850,875,850,850,850,850,872.5,884,895,895,900,895,895,895,900,899,899,900,925,925,925,932,935,925,925,945,950,950,975,975,980,970,990,995,950,990,955,975,950,995,1000,1025
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,3550,2952.5,2575,3000,3125,3175,3225,3330,3377.5,3400,3390,3650,3600,3695,3512.5,3490,3450,3500,3550,3597.5,3600,3600,3599,3452.5,3400,3300,3275,3295,3200,3400,3450,3337.5,3272.5,3300,3300,3239,3239.5,3175.5,3100,3100,3100,3208.5,3200,3153,3295,3300,3350,3400,3400,3350,3300,3267,3295,3300,3354.5,3350,3359,3400,3350,3295,3359,3350,3350,3377,3350,3350,3350,3300,3350,3325,3350,3412.5,3350,3295,3297.5,3200
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4797.5,4850,5500,5500,5000,4500,4600,4600,4675,4695,4350,4295,4425,4750
"Upper East Side","New York","NY","New York","New York",6,,,,,,,,,,,,,,,,,,,,,,,,,3125,3095,3095,3067,2835,2800,2897.5,2950,2900,2850,2700,2675,2695,2795,2775,2950,2950,2945,2795,2797.5,2795,2845,2800,2847.5,2850,2872.5,2995,2995,2995,2895,3000,3000,2995,2995,2995,2995,2995,2995,2950,2950,2995,2950,2950,2995,2995,2995,2995,2995,2995,2995,2995,2995,2950,2950,2845,2845,2800,2900,2785,2850,2950,2872.5
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,950,950,950,900,950,982.5,950,925,925,900,900,900,900,900,900,950,950,900,900,947.5,950,925,900,900,900,900,925,950,950,945,949,950,950,949,950,950,950,950,950,950,995,995,975,995,995,995,997,995,995,1000,1000,1000,995,995,1027,1050,1000,1025,1000,1000,999,1050,1050,1050,1000,1050,1090,1050,1050,1050,1050,1050,1050,1050,1100
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",8,,,,,,1172.5,1250,1295,1250,1295,1242.5,1295,1299,1295,1250,1300,1295,1300,1295,1250,1275,1275,1250,1200,1200,1200,1250,1245,1250,1200,1200,1200,1200,1200,1199,1200,1199,1199,1200,1200,1195,1198,1225,1239,1249.5,1250,1250,1250,1250,1250,1250,1250,1250,1285,1296.5,1295,1280,1295,1300,1312.5,1350,1345,1350,1350,1350,1350,1395,1350,1330,1350,1350,1350,1375,1400,1350,1350,1395,1350,1300,1300,1350,1350,1350,1350,1377.5,1450
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",9,,1600,1662.5,1550,1722.5,1650,1587.5,1550,1472.5,1450,1472.5,1499.5,1450,1450,1395,1397.5,1400,1400,1362.5,1350,1295,1395,1395,1395,1395,1395,1350,1400,1400,1350,1345,1295,1295,1299,1295,1350,1300,1300,1350,1395,1377.5,1400,1350,1425,1450,1400,1450,1450,1400,1425,1450,1500,1500,1500,1500,1495,1500,1525,1612.5,1695,1700,1695,1600,1595,1595,1550,1500,1540,1550,1600,1700,1695,1650,1650,1650,1677.5,1595,1695,1650,1635,1500,1595,1562.5,1600,1695,1797.5
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,1190,1137.5,1172.5,1175,1149.5,1050,1049,1150,1185,1262.5,1200,1200,1195,1195,1195,1199,1195,1150,1100,1100,1150,1150,1150,1175,1195,1195,1162.5,1150,1195,1197.5,1200,1199,1195,1199,1200,1200,1195,1195,1195,1195,1150,1175,1150,1175,1195,1195,1195,1190,1195,1200,1250,1250,1250,1225,1245,1200,1200,1200,1250,1250,1250,1250,1250,1250,1282.5,1295,1295,1272.5,1290,1300,1295,1295,1282.5,1295,1295,1275,1292.5,1295,1295,1250,1295,1310,1370,1350
