"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03"
"Upper West Side","New York","NY","New York","New York",1,,,,1997.5,2000,1995,1900,1962.5,1995,2000,2035,2150,2100,2095,2049,2025,2095,2057.5,2100,2100,2075,2100,2195,2200,2229,2200,2199,2195,2175,2195,2156,2185,2200,2150,2190,2230,2250,2250,2275,2250,2249,2249,2250,2215,2200,2302.5,2255,2300,2299,2350,2322.5,2300,2279,2300,2352.5,2310,2305,2329,2350,2350,2350,2315,2320,2300,2385,2300,2335,2300,2350,2275,2300,2307.5,2320,2302.5,2300,2296.5,2300,2300
"Upper East Side","New York","NY","New York","New York",2,1775,1850,1825,1850,1695,1750,1750,1750,1800,1800,1800,1825,1850,1875,1850,1850,1850,1850,1850,1850,1875,1850,1850,1850,1875,1850,1875,1850,1850,1875,1875,1850,1895,1850,1895,1899,1900,1900,1900,1895,1900,1900,1900,1907,1900,1949,1950,1927,1950,1950,1950,1950,1950,1950,1995,1950,1953,1950,1995,1995,1995,1995,1985,1985,1995,1999,1995,1995,1975,1975,1970,1955,1995,1950,1945,1950,1950,1995
"Washington Heights","New York","NY","New York","New York",3,,,,,,,1185,1140,1150,1175,1125,1125,1175,1150,1150,1150,1195,1195,1200,1200,1285,1250,1250,1250,1250,1250,1200,1225,1250,1295,1295,1295,1262.5,1295,1300,1350,1395,1350,1350,1350,1350,1375,1375,1395,1395,1341.5,1362.5,1350,1350,1349,1350,1397,1400,1450,1400,1400,1449.5,1424.5,1395,1397,1372.5,1350,1372.5,1400,1400,1399,1399,1372.5,1399,1424.5,1399.5,1412.5,1350,1424.5,1385,1449.5,1495,1495
"Astoria","New York","NY","New York","Queens",4,,,,,,,,,,,,,,,1350,1550,1600,1425,1400,1412.5,1497.5,1450,1500,1700,1750,1800,1737.5,1700,1750,1600,1650,1750,1700,1700,1700,1850,1900,1795,1760,1790,1800,1795,1810,2000,2000,1975,2000,1987.5,1950,1900,1800,1800,1850,1860,1900,1900,2000,2000,2050,2000,2000,2050,2000,1950,1885,1850,1800,1977.5,1925,1920,1795,1775,1850,1925,1712.5,1750,1850,1857
"Williamsburg","New York","NY","New York","Kings",5,,,,,,,,,,,,,,,,2200,1975,2200,2395,2397,2200,2272.5,2400,2320,2350,2349,2200,2250,2400,2300,2500,2538,2590,2550,2549,2549,2550,2600,2575,2600,2595,2575,2538,2550,2538.5,2515,2600,2599,2559,2550,2590,2550,2595,2620,2675,2795,2795,2770,2800,2777.5,2797.5,2850,2795,2761.5,2700,2600,2700,2600,2627,2715,2600,2600,2748,2600,2600,2850,2600,2575
"Bedford Stuyvesant","New York","NY","New York","Kings",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1550,1500,1500,1400,1350,1350,1320,1350,1450,1450,1500,1500,1550,1595,1550,1500,1500,1500,1649,1600,1595,1750,1695,1675,1696,1650,1600,1589,1600,1650,1700,1630,1700,1750,1800,1750,1800,1899.5,1895,1662.5,1750,1760,1750
"Flatbush","New York","NY","New York","Kings",7,,,,,,,,,,,,,,,,,,,,,,1100,1100,1100,1100,1100,1112.5,1150,1175,1200,1200,1199,1175,1200,1250,1299,1250,1200,1225,1250,1225,1247.5,1263,1300,1263,1300,1300,1399,1400,1375,1300,1350,1400,1375,1400,1400,1400,1400,1450,1525,1500,1500,1400,1400,1400,1550,1595,1595,1500,1585,1550,1550,1525,1655.5,1525,1500,1450,1467.5
"Crown Heights","New York","NY","New York","Kings",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1699,1800,1775,1997,1850,1750,1700,1600,1600,1600,1797,1724.5,1700,1697,1650,1700,1707,1650,1700,1675,1637.5
"Jamaica","New York","NY","New York","Queens",9,,,,,,,,,,,,,,,,,,,,,,1062.5,1050,1196,1196,1152.5,1207,1202,1185.5,1185.5,1176,1250,1295,1279.5,1259,1312.5,1325,1300,1254.5,1224,1248,1249,1254.5,1350,1361,1389.5,1384,1433.5,1433.5,1425,1397.5,1400,1400,1412.5,1400,1453.5,1450,1466,1475,1363,1350,1376.5,1375,1400,1422.5,1457,1399,1375,1399.5,1398.5,1389,1478,1375,1555,1400,1400,1457,1473
"Harlem","New York","NY","New York","New York",10,,,,,,1180,1180,1200,1375,1295,1275,1350,1295,1275,1250,1250,1250,1250,1250,1295,1385,1395,1400,1400,1275,1300,1275,1275,1299,1300,1300,1300,1395,1400,1400,1500,1475,1450,1450,1450,1450,1432.5,1400,1495,1450,1400,1400,1450,1497.5,1500,1500,1500,1500,1530,1550,1530,1550,1600,1650,1600,1597.5,1600,1595,1600,1600,1550,1550,1595,1599.5,1600,1550,1575,1597.5,1595,1550,1632.5,1600,1600
